Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,dataset
11,Silantro Fil-Mex,162,Pasig City,"75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.057916,14.567689,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,No,3,4.9,Dark Green,Excellent,1070,zomato
12,Mad Mark's Creamery & Good Eats,162,Pasig City,"23 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.06082,14.570849,"American, Ice Cream, Desserts",900,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,488,zomato
13,Silantro Fil-Mex,162,Quezon City,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City","UP Town Center, Diliman, Quezon City, Quezon City",121.075419,14.649503,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,No,3,4.8,Dark Green,Excellent,294,zomato
14,Guevarra's,162,San Juan City,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Addition Hills,"Addition Hills, San Juan City",121.033592,14.59345,Filipino,1000,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,458,zomato
15,Sodam Korean Restaurant,162,San Juan City,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Little Baguio,"Little Baguio, San Juan City",121.03811,14.59889,Korean,700,Botswana Pula(P),No,No,No,No,3,4.3,Green,Very Good,223,zomato
16,Cafe Arabelle,162,Santa Rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa, Santa Rosa",121.05704,14.237082,"Cafe, American, Italian, Filipino",800,Botswana Pula(P),No,No,No,No,3,3.6,Yellow,Good,29,zomato
17,Nonna's Pasta & Pizzeria,162,Santa Rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa, Santa Rosa",121.056587,14.237679,"Italian, Pizza",850,Botswana Pula(P),No,No,No,No,3,4,Green,Very Good,72,zomato
18,Balay Dako,162,Tagaytay City,"Aguinaldo Highway, Tagaytay City",Tagaytay City,"Tagaytay City, Tagaytay City",120.951589,14.101834,Filipino,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,211,zomato
19,Hobing Korean Dessert Cafe,162,Taguig City,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City","BGC Stopover Pavillion, Bonifacio Global City, Taguig City",121.045878,14.55436,"Cafe, Korean, Desserts",600,Botswana Pula(P),No,No,No,No,2,4.5,Dark Green,Excellent,118,zomato
20,Wildflour Cafe + Bakery,162,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Bonifacio Global City,"Bonifacio Global City, Taguig City",121.04622,14.549337,"Cafe, Bakery, American, Italian",1500,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,392,zomato
21,NIU by Vikings,162,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.053725,14.545858,"Seafood, American, Mediterranean, Japanese",3000,Botswana Pula(P),Yes,No,No,No,4,4.7,Dark Green,Excellent,535,zomato
22,The Food Hall by Todd English,162,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City, Taguig City",121.0535,14.545655,"American, Asian, Italian, Seafood",1800,Botswana Pula(P),Yes,No,No,No,4,4.5,Dark Green,Excellent,618,zomato
23,Chez Michou,30,BrasÕ_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, BrasÕ_lia",Asa Norte,"Asa Norte, BrasÕ_lia",-47.881789,-15.764142,"Fast Food, French",55,Brazilian Real(R$),No,No,No,No,2,3,Orange,Average,6,zomato
24,CafÕ© Daniel Briand,30,BrasÕ_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, BrasÕ_lia",Asa Norte,"Asa Norte, BrasÕ_lia",-47.882667,-15.7775,Cafe,30,Brazilian Real(R$),No,No,No,No,1,3.8,Yellow,Good,9,zomato
25,Casa do Biscoito Mineiro,30,BrasÕ_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, BrasÕ_lia",Asa Norte,"Asa Norte, BrasÕ_lia",-47.882136,-15.757472,Bakery,45,Brazilian Real(R$),No,No,No,No,2,3.7,Yellow,Good,11,zomato
26,Maori,30,BrasÕ_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, BrasÕ_lia",Asa Norte,"Asa Norte, BrasÕ_lia",-47.888167,-15.758833,Brazilian,60,Brazilian Real(R$),No,No,No,No,3,3.8,Yellow,Good,11,zomato
27,Pizza Õ_ Bessa,30,BrasÕ_lia,"SCS 214, Bloco C, Loja 40, Asa Sul, BrasÕ_lia",Asa Sul,"Asa Sul, BrasÕ_lia",-47.915667,-15.831167,Pizza,50,Brazilian Real(R$),No,No,No,No,2,3.2,Orange,Average,11,zomato
28,Sushi Loko,30,BrasÕ_lia,"SCS 213, Bloco C, Loja 35, Asa Sul, BrasÕ_lia",Asa Sul,"Asa Sul, BrasÕ_lia",-47.915667,-15.831,Japanese,80,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,10,zomato
29,Beirute,30,BrasÕ_lia,"CLS 109, Bloco A, Loja 2/6, Asa Sul, BrasÕ_lia",Asa Sul,"Asa Sul, BrasÕ_lia",-47.9075,-15.82,Arabian,90,Brazilian Real(R$),No,No,No,No,3,3.7,Yellow,Good,8,zomato
30,New Koto,30,BrasÕ_lia,"SCS 212, Bloco B, Loja 26, Asa Sul, BrasÕ_lia",Asa Sul,"Asa Sul, BrasÕ_lia",-47.910167,-15.827333,Japanese,200,Brazilian Real(R$),No,No,No,No,4,3.7,Yellow,Good,5,zomato
31,Sandubas CafÕ©,30,BrasÕ_lia,"EdifÕ_cio JosÕ© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, BrasÕ_lia",Asa Sul,"Asa Sul, BrasÕ_lia",-47.890167,-15.797,"Brazilian, Cafe",30,Brazilian Real(R$),No,No,No,No,1,0,White,Not rated,2,zomato
32,Villa Tevere,30,BrasÕ_lia,"CLS 115, Bloco A, Loja 2, Asa Sul, BrasÕ_lia",Asa Sul,"Asa Sul, BrasÕ_lia",-47.923667,-15.831333,Italian,150,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,12,zomato
33,Rovereto,30,BrasÕ_lia,"Rua 13 Norte, Lote 4, ÕÅguas Claras, BrasÕ_lia",ÕÅguas Claras,"ÕÅguas Claras, BrasÕ_lia",-48.019,-15.837167,Pizza,100,Brazilian Real(R$),No,No,No,No,4,3.1,Orange,Average,9,zomato
34,Buena Carne,30,BrasÕ_lia,"Avenida AraucÕçrias, 1325, Loja 19, ÕÅguas Claras, BrasÕ_lia",ÕÅguas Claras,"ÕÅguas Claras, BrasÕ_lia",-48.019092,-15.839775,"Bar Food, Brazilian",60,Brazilian Real(R$),No,No,No,No,3,3.6,Yellow,Good,9,zomato
35,Taco Pep,30,BrasÕ_lia,"Vila Malls, Avenida das Castanheiras, Lote 1060, Õóguas Claras, BrasÕ_lia",ÕÅguas Claras,"ÕÅguas Claras, BrasÕ_lia",-48.016667,-15.834833,"Mexican, Grill",100,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,29,zomato
36,Coco Bambu,30,BrasÕ_lia,"BrasÕ_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, BrasÕ_lia","BrasÕ_lia Shopping, Asa Norte","BrasÕ_lia Shopping, Asa Norte, BrasÕ_lia",-47.889,-15.7865,International,230,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,17,zomato
37,TaypÕç,30,BrasÕ_lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, BrasÕ_lia",Lago Sul,"Lago Sul, BrasÕ_lia",-47.872359,-15.860621,"Peruvian, Latin American",100,Brazilian Real(R$),No,No,No,No,4,3.6,Yellow,Good,5,zomato
38,Outback Steakhouse,30,BrasÕ_lia,"ParkShopping - Piso 2, SAI/SO, ÕÅrea 6580, GuarÕç I, BrasÕ_lia","ParkShopping, GuarÕç I","ParkShopping, GuarÕç I, BrasÕ_lia",-47.956283,-15.834514,"American, Grill",150,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,10,zomato
39,ManzuÕç,30,BrasÕ_lia,"PontÕ£o Lago Sul, SHIS 10, Lote 9, Lago Sul, BrasÕ_lia","PontÕ£o Lago Sul, Lago Sul","PontÕ£o Lago Sul, Lago Sul, BrasÕ_lia",-47.872833,-15.825667,Seafood,240,Brazilian Real(R$),No,No,No,No,4,3.2,Orange,Average,6,zomato
40,Coco Bambu,30,BrasÕ_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, BrasÕ_lia",Setor De Clubes Esportivos Sul,"Setor De Clubes Esportivos Sul, BrasÕ_lia",-47.8685,-15.819,International,230,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,30,zomato
41,Gero,30,BrasÕ_lia,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, BrasÕ_lia","Shopping Iguatemi, Lago Norte","Shopping Iguatemi, Lago Norte, BrasÕ_lia",-47.885812,-15.720118,Italian,350,Brazilian Real(R$),No,No,No,No,4,3.3,Orange,Average,8,zomato
42,Brazilian American Burgers,30,BrasÕ_lia,"CLSN 301, Bloco C, Loja 86, Sudoeste, BrasÕ_lia",Sudoeste,"Sudoeste, BrasÕ_lia",-47.921028,-15.797531,"American, Burger",50,Brazilian Real(R$),No,No,No,No,2,3.6,Yellow,Good,9,zomato
43,Pesqueiro Eco Gourmet,30,Rio de Janeiro,"Praia da Barra da Tijuca, Avenida LÕ_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,"Barra da Tijuca, Rio de Janeiro",-43.377,-23.0115,"Seafood, Bar Food, Brazilian",140,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,7,zomato
44,Confeitaria Colombo,30,Rio de Janeiro,"Rua GonÕ_alves Dias, 32, Centro, Rio de Janeiro",Centro,"Centro, Rio de Janeiro",-43.178826,-22.905293,"Desserts, Cafe",100,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,29,zomato
45,Bibi,30,Rio de Janeiro,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-43.186692,-22.972072,"Juices, Healthy Food",60,Brazilian Real(R$),No,No,No,No,3,4.7,Dark Green,Excellent,24,zomato
46,Cervantes,30,Rio de Janeiro,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-43.175833,-22.962167,"Beverages, Bar Food, Fast Food",90,Brazilian Real(R$),No,No,No,No,3,4.5,Dark Green,Excellent,29,zomato
47,Amir,30,Rio de Janeiro,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",-43.176,-22.965167,Lebanese,170,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,11,zomato
48,TT Burger,30,Rio de Janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro","Galeria River, Copacabana","Galeria River, Copacabana, Rio de Janeiro",-43.191,-22.986833,Burger,60,Brazilian Real(R$),No,No,No,No,3,4.8,Dark Green,Excellent,19,zomato
49,Braseiro da GÕçvea,30,Rio de Janeiro,"PraÕ_a Santos Dumont, 116, GÕçvea, Rio de Janeiro",GÕçvea,"GÕçvea, Rio de Janeiro",-43.227042,-22.973507,"Brazilian, Bar Food",100,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,40,zomato
50,Balada Mix,30,Rio de Janeiro,"Rua AnÕ_bal de MendonÕ_a, 37, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-43.211425,-22.985208,"Brazilian, Healthy Food, Juices, Pizza",90,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,21,zomato
51,Garota de Ipanema,30,Rio de Janeiro,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-43.203,-22.985333,"Brazilian, Bar Food",120,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,49,zomato
52,ZazÕç BistrÕâ Tropical,30,Rio de Janeiro,"Rua Joana AngÕ©lica, 40, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-43.205208,-22.985319,Brazilian,170,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,21,zomato
53,FilÕ© de Ouro,30,Rio de Janeiro,"Rua Jardim BotÕ¢nico, 731, Jardim BotÕ¢nico, Lagoa, Rio de Janeiro",Lagoa,"Lagoa, Rio de Janeiro",-43.219563,-22.966647,Brazilian,90,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,14,zomato
54,D.O.C Ristorante,30,Rio de Janeiro,"Le Monde, Bloco 3, Lojas A/B, Avenida das AmÕ©ricas, 3500, Barra da Tijuca, Rio de Janeiro","Le Monde, Barra da Tijuca","Le Monde, Barra da Tijuca, Rio de Janeiro",-43.348792,-22.999911,Italian,150,Brazilian Real(R$),No,No,No,No,4,4,Green,Very Good,5,zomato
55,Sushi Leblon,30,Rio de Janeiro,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",Leblon,"Leblon, Rio de Janeiro",-43.227,-22.984167,Japanese,250,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,25,zomato
56,Talho Capixaba,30,Rio de Janeiro,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",Leblon,"Leblon, Rio de Janeiro",-43.225667,-22.985167,"Bakery, Sandwich, Brazilian",120,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,13,zomato
57,Leme Light,30,Rio de Janeiro,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",Leme,"Leme, Rio de Janeiro",-43.172792,-22.963925,Brazilian,40,Brazilian Real(R$),No,No,No,No,2,4.2,Green,Very Good,7,zomato
58,Shirley,30,Rio de Janeiro,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",Leme,"Leme, Rio de Janeiro",-43.171264,-22.963372,"Brazilian, Seafood",250,Brazilian Real(R$),No,No,No,No,4,4.2,Green,Very Good,8,zomato
59,Quiosque Chopp Brahma,30,Rio de Janeiro,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",Madureira,"Madureira, Rio de Janeiro",-43.341164,-22.870413,"Bar Food, Brazilian",70,Brazilian Real(R$),No,No,No,No,3,0,White,Not rated,1,zomato
60,AprazÕ_vel,30,Rio de Janeiro,"Rua AprazÕ_vel, 62, Santa Teresa, Rio de Janeiro",Santa Teresa,"Santa Teresa, Rio de Janeiro",-43.187369,-22.924814,Brazilian,300,Brazilian Real(R$),No,No,No,No,4,4.7,Dark Green,Excellent,44,zomato
61,Aconchego Carioca,30,Rio de Janeiro,"Rua BarÕ£o de Iguatemi, 379, Tijuca, Rio de Janeiro",Tijuca,"Tijuca, Rio de Janeiro",-43.215511,-22.913708,"Brazilian, Bar Food",85,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,24,zomato
62,Garota de Ipanema,30,Rio de Janeiro,"Avenida JoÕ£o Alves, 56, Urca, Rio de Janeiro",Urca,"Urca, Rio de Janeiro",-43.162667,-22.947833,"Brazilian, Bar Food",80,Brazilian Real(R$),No,No,No,No,3,4.3,Green,Very Good,10,zomato
63,Cantina Famiglia Mancini,30,SÕ£o Paulo,"Rua Avanhandava, 81, Bela Vista, SÕ£o Paulo 10000","Bela Vista, Centro","Bela Vista, Centro, SÕ£o Paulo",-46.645167,-23.550667,"Italian, Pizza",250,Brazilian Real(R$),No,No,No,No,4,4.5,Dark Green,Excellent,49,zomato
64,Templo da Carne - Marcos Bassi,30,SÕ£o Paulo,"Rua Treze de Maio, 668, Bela Vista, SÕ£o Paulo 01327000","Bela Vista, Centro","Bela Vista, Centro, SÕ£o Paulo",-46.646333,-23.559,"Steak, BBQ",250,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,17,zomato
65,Gopala Hari,30,SÕ£o Paulo,"Rua Antonio Carlos, 429, ConsolaÕ_Õ£o, SÕ£o Paulo",ConsolaÕ_Õ£o,"ConsolaÕ_Õ£o, SÕ£o Paulo",-46.658667,-23.556167,Indian,70,Brazilian Real(R$),No,No,No,No,3,3.1,Orange,Average,5,zomato
66,Jiquitaia,30,SÕ£o Paulo,"Rua AntÕânio Carlos, 268, ConsolaÕ_Õ£o, SÕ£o Paulo",ConsolaÕ_Õ£o,"ConsolaÕ_Õ£o, SÕ£o Paulo",-46.657523,-23.55671,Brazilian,100,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,15,zomato
67,Skye - Hotel Unique,30,SÕ£o Paulo,"Hotel Unique, Avenida Brigadeiro LuÕ_s AntÕânio, 4700, Jardim Paulista, SÕ£o Paulo","Hotel Unique, Jardim Paulista","Hotel Unique, Jardim Paulista, SÕ£o Paulo",-46.666851,-23.581688,"Beverages, International",300,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,59,zomato
68,Les 3 Brasseurs,30,SÕ£o Paulo,"Rua JesuÕ_no Arruda, 470, Itaim Bibi, SÕ£o Paulo",Itaim Bibi,"Itaim Bibi, SÕ£o Paulo",-46.67511,-23.582135,"French, Brazilian, Beverages",120,Brazilian Real(R$),No,No,No,No,4,4.6,Dark Green,Excellent,30,zomato
69,Red Steak & Burger,30,SÕ£o Paulo,"Rua TabapuÕ£, 1417, Itaim Bibi, SÕ£o Paulo",Itaim Bibi,"Itaim Bibi, SÕ£o Paulo",-46.683888,-23.585324,"Brazilian, Grill",75,Brazilian Real(R$),No,No,No,No,3,3.9,Yellow,Good,5,zomato
70,Cantinho da Gula,30,SÕ£o Paulo,"Rua Pedroso Alvarenga, 522, Itaim Bibi, SÕ£o Paulo, SP",Itaim Bibi,"Itaim Bibi, SÕ£o Paulo",-46.675667,-23.581,Brazilian,55,Brazilian Real(R$),No,No,No,No,2,0,White,Not rated,0,zomato
71,Paris 6 Classique,30,SÕ£o Paulo,"Rua Haddock Lobo, 1240, Cerqueira CÕ©sar, Jardim Paulista, SÕ£o Paulo",Jardim Paulista,"Jardim Paulista, SÕ£o Paulo",-46.666041,-23.561568,French,200,Brazilian Real(R$),No,No,No,No,4,3.4,Orange,Average,73,zomato
72,Kawa Sushi,30,SÕ£o Paulo,"Alameda Lorena, 300, Jardim Paulista, SÕ£o Paulo",Jardim Paulista,"Jardim Paulista, SÕ£o Paulo",-46.657418,-23.571638,"Sushi, Japanese",120,Brazilian Real(R$),No,No,No,No,4,3.5,Yellow,Good,9,zomato
73,A Figueira Rubaiyat,30,SÕ£o Paulo,"Rua Haddock Lobo, 1738, Cerqueira CÕ©sar, Jardim Paulista, SÕ£o Paulo 10000",Jardim Paulista,"Jardim Paulista, SÕ£o Paulo",-46.669833,-23.5655,"BBQ, Grill, Brazilian",300,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,39,zomato
74,Kinoshita,30,SÕ£o Paulo,"Rua Jacques FÕ©lix, 405, Vila Nova ConceiÕ_Õ£o, Moema, SÕ£o Paulo",Moema,"Moema, SÕ£o Paulo",-46.671333,-23.592333,Sushi,230,Brazilian Real(R$),No,No,No,No,4,3.9,Yellow,Good,12,zomato
75,Meats,30,SÕ£o Paulo,"Rua dos Pinheiros, 320, Pinheiros, SÕ£o Paulo",Pinheiros,"Pinheiros, SÕ£o Paulo",-46.681333,-23.564833,"Gourmet Fast Food, Burger",120,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,68,zomato
76,Paribar,30,SÕ£o Paulo,"PraÕ_a Dom JosÕ© Gaspar, 42, RepÕ_blica, SÕ£o Paulo 10000",RepÕ_blica,"RepÕ_blica, SÕ£o Paulo",-46.641594,-23.546642,"Brazilian, Italian",150,Brazilian Real(R$),No,No,No,No,4,4.3,Green,Very Good,46,zomato
77,TerraÕ_o ItÕçlia,30,SÕ£o Paulo,"EdifÕ_cio ItÕçlia - 41ëç Andar, Avenida Ipiranga, 344, RepÕ_blica, SÕ£o Paulo",RepÕ_blica,"RepÕ_blica, SÕ£o Paulo",-46.643425,-23.545163,Italian,400,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,37,zomato
78,Divino FogÕ£o,30,SÕ£o Paulo,"Shopping MetrÕâ Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, SÕ£o Paulo","Shopping MetrÕâ Santa Cruz, Vila Mariana","Shopping MetrÕâ Santa Cruz, Vila Mariana, SÕ£o Paulo",-46.637167,-23.5995,"Brazilian, Mineira",65,Brazilian Real(R$),No,No,No,No,3,0,White,Not rated,2,zomato
79,Super Grill,30,SÕ£o Paulo,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni JÕ_nior, 1089, Santo Amaro, SÕ£o Paulo","Shopping Morumbi, Santo Amaro","Shopping Morumbi, Santo Amaro, SÕ£o Paulo",-46.698574,-23.622925,Brazilian,50,Brazilian Real(R$),No,No,No,No,2,0,White,Not rated,2,zomato
80,Esquina MocotÕ_,30,SÕ£o Paulo,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, SÕ£o Paulo",Vila Maria,"Vila Maria, SÕ£o Paulo",-46.581672,-23.486535,"Brazilian, North Eastern",100,Brazilian Real(R$),No,No,No,No,4,4.4,Green,Very Good,22,zomato
81,Veloso,30,SÕ£o Paulo,"Rua ConceiÕ_Õ£o Veloso, 56, Vila Mariana, SÕ£o Paulo",Vila Mariana,"Vila Mariana, SÕ£o Paulo",-46.635667,-23.585167,"Brazilian, Bar Food, Beverages",70,Brazilian Real(R$),No,No,No,No,3,4.6,Dark Green,Excellent,58,zomato
82,Sainte Marie Gastronomia,30,SÕ£o Paulo,"Rua Dom JoÕ£o Batista da Costa, 70, Vila SÕânia, SÕ£o Paulo",Vila SÕânia,"Vila SÕânia, SÕ£o Paulo",-46.746958,-23.609207,"Lebanese, Arabian",120,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,11,zomato
83,Austin's BBQ and Oyster Bar,216,Albany,"2820 Meredyth Dr, Albany, GA 31707",Albany,"Albany, Albany",-84.221535,31.610387,"BBQ, Burger, Seafood",25,Dollar($),No,No,No,No,2,3.3,Orange,Average,35,zomato
84,BJ's Country Buffet,216,Albany,"2401 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.207095,31.608743,"American, BBQ",10,Dollar($),No,No,No,No,1,3.3,Orange,Average,25,zomato
85,Cookie Shoppe,216,Albany,"115 N Jackson St, Albany, GA 31701",Albany,"Albany, Albany",-84.154,31.5772,,0,Dollar($),No,No,No,No,1,3.4,Orange,Average,34,zomato
86,El Vaquero Mexican Restaurant,216,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2194,31.6158,Mexican,0,Dollar($),No,No,No,No,1,3.4,Orange,Average,45,zomato
87,Elements Coffee Co - Northwest,216,Albany,"2726 Ledo Rd Ste 10, Albany, GA 31707",Albany,"Albany, Albany",-84.206944,31.622412,"Coffee and Tea, Sandwich",10,Dollar($),No,No,No,No,1,3.4,Orange,Average,26,zomato
